,industry_code_ANZSIC,industry_name_ANZSIC,variable,value,unit
201,2,11,5,5139,1
202,2,11,8,5160,1
203,2,11,7,5002,1
204,2,11,2,3969,1
205,2,11,6,4370,1
206,2,11,1,1697,1
207,2,11,0,3292,0
208,2,11,3,2448,0
209,2,11,4,758,1
210,2,11,5,177,1
211,2,11,8,208,1
212,2,11,7,92,1
213,2,11,2,3980,1
214,2,11,6,4615,1
215,2,11,1,2060,1
216,2,11,0,1389,0
217,2,11,3,2298,0
218,2,11,4,977,1
219,2,11,5,258,1
220,2,11,8,313,1
221,2,11,7,190,1
222,2,11,2,4714,1
223,2,11,6,5541,1
224,2,11,1,2192,1
225,2,11,0,888,0
226,2,11,3,5276,0
227,2,11,4,4064,1
228,2,11,5,4079,1
229,2,11,8,4116,1
230,2,11,7,4078,1
231,2,11,2,1054,1
232,2,11,6,3475,1
233,2,11,1,849,1
234,2,11,0,1921,0
235,2,11,3,2091,0
236,2,11,4,521,1
237,2,11,5,5629,1
238,2,11,8,5662,1
239,2,11,7,5581,1
240,2,11,2,3371,1
241,2,11,6,4846,1
242,2,11,1,2132,1
243,3,7,0,4122,0
244,3,7,3,19,0
245,3,7,4,2177,1
246,3,7,5,2264,1
247,3,7,8,2344,1
248,3,7,7,1979,1
249,3,7,2,3218,1
250,3,7,6,5347,1
251,3,7,1,4458,1
252,3,7,0,2862,0
253,3,7,3,4548,0
254,3,7,4,2666,1
255,3,7,5,1144,1
256,3,7,8,1203,1
257,3,7,7,905,1
258,3,7,2,1666,1
259,3,7,6,3607,1
260,3,7,1,1480,1
261,3,7,0,4642,0
262,3,7,3,3897,0
263,3,7,4,2288,1
264,3,7,5,601,1
265,3,7,8,601,1
266,3,7,7,423,1
267,3,7,2,1794,1
268,3,7,6,290,1
269,3,7,1,4755,1
270,3,7,0,3541,0
271,3,7,3,4167,0
272,3,7,4,1933,1
273,3,7,5,833,1
274,3,7,8,905,1
275,3,7,7,665,1
276,3,7,2,1523,1
277,3,7,6,3381,1
278,3,7,1,2849,1
279,3,7,0,3033,0
280,3,7,3,91,0
281,3,7,4,4121,1
282,3,7,5,3655,1
283,3,7,8,3716,1
284,3,7,7,3381,1
285,3,7,2,4561,1
286,3,7,6,5006,1
287,3,7,1,4365,1
288,3,7,0,1037,0
289,3,7,3,451,0
290,3,7,4,4072,1
291,3,7,5,5353,1
292,3,7,8,5367,1
293,3,7,7,5092,1
294,3,7,2,5240,1
295,3,7,6,751,1
296,3,7,1,5745,1
297,3,7,0,5470,0
298,3,7,3,1199,0
299,3,7,4,5240,1
300,3,7,5,4843,1
301,3,7,8,4896,1
302,3,7,7,4365,1
303,3,7,2,1144,1
304,3,7,6,2896,1
305,3,7,1,2609,1
306,3,7,0,1037,0
307,3,7,3,5436,0
308,3,7,4,4597,1
309,3,7,5,150,1
310,3,7,8,362,1
311,3,7,7,5756,1
312,3,7,2,900,1
313,3,7,6,3707,1
314,3,7,1,3200,1
315,3,7,0,86,0
316,3,7,3,937,0
317,3,7,4,5582,1
318,3,7,5,1095,1
319,3,7,8,1266,1
320,3,7,7,908,1
321,3,7,2,1984,1
322,3,7,6,4394,1
323,3,7,1,3786,1
324,4,5,0,2773,0
325,4,5,3,19,0
326,4,5,4,4714,1
327,4,5,5,4041,1
328,4,5,8,4062,1
329,4,5,7,3824,1
330,4,5,2,3558,1
331,4,5,6,4457,1
332,4,5,1,1506,1
333,4,5,0,1289,0
334,4,5,3,2790,0
335,4,5,4,924,1
336,4,5,5,4566,1
337,4,5,8,4581,1
338,4,5,7,4376,1
339,4,5,2,3746,1
340,4,5,6,3106,1
341,4,5,1,61,1
342,4,5,0,2068,0
343,4,5,3,1176,0
344,4,5,4,5146,1
345,4,5,5,2780,1
346,4,5,8,2784,1
347,4,5,7,2713,1
348,4,5,2,460,1
349,4,5,6,857,1
350,4,5,1,3211,1
351,4,5,0,575,0
352,4,5,3,1244,0
353,4,5,4,5248,1
354,4,5,5,3039,1
355,4,5,8,3052,1
356,4,5,7,2965,1
357,4,5,2,868,1
358,4,5,6,1221,1
359,4,5,1,2776,1
360,4,5,0,4036,0
361,4,5,3,1192,0
362,4,5,4,5163,1
363,4,5,5,3172,1
364,4,5,8,3181,1
365,4,5,7,3139,1
366,4,5,2,816,1
367,4,5,6,1303,1
368,4,5,1,3668,1
369,4,5,0,730,0
370,4,5,3,5405,0
371,4,5,4,3980,1
372,4,5,5,2371,1
373,4,5,8,2389,1
374,4,5,7,2320,1
375,4,5,2,387,1
376,4,5,6,836,1
377,4,5,1,2776,1
378,4,5,0,3699,0
379,4,5,3,4248,0
380,4,5,4,3260,1
381,4,5,5,1619,1
382,4,5,8,1632,1
383,4,5,7,1447,1
384,4,5,2,583,1
385,4,5,6,622,1
386,4,5,1,3757,1
387,4,5,0,3389,0
388,4,5,3,2095,0
389,4,5,4,1077,1
390,4,5,5,4589,1
391,4,5,8,4636,1
392,4,5,7,4523,1
393,4,5,2,3034,1
394,4,5,6,3304,1
395,4,5,1,4503,1
396,4,5,0,3929,0
397,4,5,3,367,0
398,4,5,4,4773,1
399,4,5,5,2970,1
400,4,5,8,2990,1
401,4,5,7,2872,1
402,4,5,2,1599,1
403,4,5,6,1876,1
404,4,5,1,4060,1
405,5,19,0,5095,0
406,5,19,3,19,0
407,5,19,4,2357,1
408,5,19,5,4676,1
409,5,19,8,4723,1
410,5,19,7,4630,1
411,5,19,2,1585,1
412,5,19,6,3062,1
413,5,19,1,4442,1
414,5,19,0,4403,0
415,5,19,3,742,0
416,5,19,4,4884,1
417,5,19,5,5326,1
418,5,19,8,5349,1
419,5,19,7,5215,1
420,5,19,2,3836,1
421,5,19,6,3538,1
422,5,19,1,3993,1
423,5,19,0,280,0
424,5,19,3,5133,0
425,5,19,4,3427,1
426,5,19,5,3521,1
427,5,19,8,3539,1
428,5,19,7,3438,1
429,5,19,2,2479,1
430,5,19,6,1774,1
431,5,19,1,2129,1
432,5,19,0,5717,0
433,5,19,3,729,0
434,5,19,4,4803,1
435,5,19,5,5140,1
436,5,19,8,5159,1
437,5,19,7,5121,1
438,5,19,2,3394,1
439,5,19,6,3168,1
440,5,19,1,2717,1
441,5,19,0,4227,0
442,5,19,3,1339,0
443,5,19,4,5736,1
444,5,19,5,135,1
445,5,19,8,159,1
446,5,19,7,60,1
447,5,19,2,4102,1
448,5,19,6,4214,1
449,5,19,1,4182,1
450,5,19,0,1730,0
451,5,19,3,682,0
452,5,19,4,5022,1
453,5,19,5,5352,1
454,5,19,8,5390,1
455,5,19,7,5315,1
456,5,19,2,3422,1
457,5,19,6,3920,1
458,5,19,1,3569,1
459,5,19,0,4398,0
460,5,19,3,5285,0
461,5,19,4,4081,1
462,5,19,5,4789,1
463,5,19,8,4825,1
464,5,19,7,4671,1
465,5,19,2,3974,1
466,5,19,6,3191,1
467,5,19,1,3026,1
468,5,19,0,4264,0
469,5,19,3,2362,0
470,5,19,4,758,1
471,5,19,5,2275,1
472,5,19,8,2287,1
473,5,19,7,2263,1
474,5,19,2,3481,1
475,5,19,6,5260,1
476,5,19,1,303,1
477,5,19,0,1358,0
478,5,19,3,5702,0
479,5,19,4,4263,1
480,5,19,5,5038,1
481,5,19,8,5063,1
482,5,19,7,4990,1
483,5,19,2,2928,1
484,5,19,6,3182,1
485,5,19,1,3466,1
486,6,17,0,238,0
487,6,17,3,19,0
488,6,17,4,1572,1
489,6,17,5,2729,1
490,6,17,8,2744,1
491,6,17,7,2674,1
492,6,17,2,5566,1
493,6,17,6,1488,1
494,6,17,1,4318,1
495,6,17,0,142,0
496,6,17,3,2215,0
497,6,17,4,4783,1
498,6,17,5,4639,1
499,6,17,8,4648,1
500,6,17,7,4554,1
501,6,17,2,2250,1
502,6,17,6,2691,1
503,6,17,1,4334,1
504,6,17,0,1948,0
505,6,17,3,1029,0
506,6,17,4,3797,1
507,6,17,5,3103,1
508,6,17,8,3112,1
509,6,17,7,3056,1
510,6,17,2,5687,1
511,6,17,6,656,1
512,6,17,1,1858,1
513,6,17,0,1129,0
514,6,17,3,1861,0
515,6,17,4,4624,1
516,6,17,5,4210,1
517,6,17,8,4224,1
518,6,17,7,4192,1
519,6,17,2,4264,1
520,6,17,6,1392,1
521,6,17,1,2393,1
522,6,17,0,3993,0
523,6,17,3,932,0
524,6,17,4,4003,1
525,6,17,5,3567,1
526,6,17,8,3576,1
527,6,17,7,3561,1
528,6,17,2,4899,1
529,6,17,6,725,1
530,6,17,1,2682,1
531,6,17,0,1847,0
532,6,17,3,912,0
533,6,17,4,3750,1
534,6,17,5,3779,1
535,6,17,8,3798,1
536,6,17,7,3761,1
